Holding,Symbol,Weighting
Cronos Group Inc,CRON,3.23%
"MGP Ingredients, Inc.",MGPI,2.92%
Compania Cervecerias Unidas S.A. Sponsored ADR,CCU,2.91%
Ambev SA Sponsored ADR,ABEV,2.91%
"Constellation Brands, Inc. Class A",STZ,2.89%
Anheuser-Busch InBev SA/NV Sponsored ADR,BUD,2.88%
Brown-Forman Corporation Class B,BF.B,2.86%
Diageo plc Sponsored ADR,DEO,2.85%
Molson Coors Beverage Company Class B,TAP,2.8%
"Tilray Brands, Inc.",TLRY,2.76%
"Boston Beer Company, Inc. Class A",SAM,2.58%
"Duckhorn Portfolio, Inc.",NAPA,2.57%
Sportradar Group AG Class A,SRAD,2.03%
"DraftKings, Inc. Class A",DKNG,2.02%
MGM Resorts International,MGM,2.02%
Caesars Entertainment Inc,CZR,2.0%
Melco Resorts & Entertainment Ltd. Sponsored ADR,MLCO,1.97%
"Wynn Resorts, Limited",WYNN,1.95%
International Game Technology PLC,IGT,1.94%
Boyd Gaming Corporation,BYD,1.93%
Genius Sports Limited,GENI,1.92%
"Monarch Casino & Resort, Inc.",MCRI,1.92%
"Light & Wonder, Inc.",LNW,1.91%
Las Vegas Sands Corp.,LVS,1.89%
Churchill Downs Incorporated,CHDN,1.87%
"Red Rock Resorts, Inc. Class A",RRR,1.86%
"PENN Entertainment, Inc.",PENN,1.81%
"Everi Holdings, Inc.",EVRI,1.75%
"Golden Entertainment, Inc.",GDEN,1.74%
"Merck & Co., Inc.",MRK,1.6%
Vertex Pharmaceuticals Incorporated,VRTX,1.58%
Eli Lilly and Company,LLY,1.58%
Sanofi Sponsored ADR,SNY,1.57%
Amgen Inc.,AMGN,1.56%
Johnson & Johnson,JNJ,1.55%
GSK plc Sponsored ADR,GSK,1.53%
Novo Nordisk A/S Sponsored ADR Class B,NVO,1.53%
"AbbVie, Inc.",ABBV,1.53%
BioNTech SE Sponsored ADR,BNTX,1.52%
Genmab A/S Sponsored ADR,GMAB,1.51%
Bristol-Myers Squibb Company,BMY,1.51%
Novartis AG Sponsored ADR,NVS,1.5%
"Gilead Sciences, Inc.",GILD,1.5%
"Seagen, Inc.",SGEN,1.5%
"Moderna, Inc.",MRNA,1.5%
Takeda Pharmaceutical Co. Ltd. Sponsored ADR,TAK,1.46%
"Regeneron Pharmaceuticals, Inc.",REGN,1.45%
Biogen Inc.,BIIB,1.43%
Pfizer Inc.,PFE,1.42%
Astrazeneca PLC Sponsored ADR,AZN,1.37%
BeiGene Ltd Sponsored ADR,BGNE,1.34%
First American Funds Inc X Government Obligations Fund,FGXXX,0.27%
