"Cabaletta Bio, Inc.",CABA,1.6%
"Destination XL Group, Inc.",DXLG,1.53%
"Casella Waste Systems, Inc. Class A",CWST,1.5%
"Super Micro Computer, Inc.",SMCI,1.49%
"Axcelis Technologies, Inc.",ACLS,1.46%
"Leonardo DRS, Inc.",DRS,1.43%
MoonLake Immunotherapeutics Class A,MLTX,1.43%
"Northern Oil and Gas, Inc.",NOG,1.34%
89bio Inc,ETNB,1.28%
"Extreme Networks, Inc.",EXTR,1.23%
"e.l.f. Beauty, Inc.",ELF,1.2%
Carvana Co. Class A,CVNA,1.14%
"Transcat, Inc.",TRNS,1.13%
Ryerson Holding Corporation,RYI,1.09%
"Red Rock Resorts, Inc. Class A",RRR,1.04%
"Donnelley Financial Solutions, Inc.",DFIN,0.95%
"UFP Technologies, Inc.",UFPT,0.9%
"SPX Technologies, Inc.",SPXC,0.87%
"Akero Therapeutics, Inc.",AKRO,0.87%
Modine Manufacturing Company,MOD,0.85%
Bel Fuse Inc. Class B,BELFB,0.84%
Kadant Inc.,KAI,0.81%
"Golden Entertainment, Inc.",GDEN,0.78%
Rambus Inc.,RMBS,0.76%
TimkenSteel Corp,TMST,0.75%
"Mr. Cooper Group, Inc.",COOP,0.74%
Tidewater Inc,TDW,0.73%
"Reata Pharmaceuticals, Inc. Class A",RETA,0.69%
"Green Brick Partners, Inc.",GRBK,0.66%
"Onto Innovation, Inc.",ONTO,0.64%
Aehr Test Systems,AEHR,0.63%
"Symbotic, Inc. Class A",SYM,0.62%
"Sterling Infrastructure, Inc.",STRL,0.61%
"Nuvalent, Inc. Class A",NUVL,0.61%
"PDF Solutions, Inc.",PDFS,0.59%
Alamo Group Inc.,ALG,0.58%
Green Plains Inc.,GPRE,0.58%
"ImmunoGen, Inc.",IMGN,0.58%
"Dave & Buster\'s Entertainment, Inc.",PLAY,0.56%
Diamond Offshore Drilling Inc,DO,0.55%
Marathon Digital Holdings Inc,MARA,0.55%
"CBIZ, Inc.",CBZ,0.53%
"Insight Enterprises, Inc.",NSIT,0.52%
"Joby Aviation, Inc.",JOBY,0.51%
Denbury Inc.,DEN,0.51%
MYR Group Inc.,MYRG,0.5%
"Aemetis, Inc.",AMTX,0.49%
Garrett Motion Inc,GTX,0.49%
"Group 1 Automotive, Inc.",GPI,0.49%
"Impinj, Inc.",PI,0.48%
"Covenant Logistics Group, Inc. Class A",CVLG,0.48%
"RxSight, Inc.",RXST,0.48%
"Weave Communications, Inc.",WEAV,0.47%
Weatherford International plc,WFRD,0.46%
"SeaWorld Entertainment, Inc.",SEAS,0.46%
"Badger Meter, Inc.",BMI,0.46%
ArcBest Corporation,ARCB,0.45%
ORIC Pharmaceuticals Inc,ORIC,0.45%
"Beacon Roofing Supply, Inc.",BECN,0.45%
"Fluence Energy, Inc. Class A",FLNC,0.45%
"Kura Sushi USA, Inc. Class A",KRUS,0.45%
"Upstart Holdings, Inc.",UPST,0.45%
Redfin Corporation,RDFN,0.44%
"GMS, Inc.",GMS,0.44%
"Comfort Systems USA, Inc.",FIX,0.43%
Boise Cascade Co.,BCC,0.43%
"Tabula Rasa Healthcare, Inc.",TRHC,0.43%
"Krystal Biotech, Inc.",KRYS,0.42%
"Olema Pharmaceuticals, Inc.",OLMA,0.42%
Taylor Morrison Home Corporation,TMHC,0.42%
Genie Energy Ltd. Class B,GNE,0.42%
"Alphatec Holdings, Inc.",ATEC,0.42%
Navitas Semiconductor Corporation,NVTS,0.42%
"Daktronics, Inc.",DAKT,0.42%
"Heritage-Crystal Clean, Inc.",HCCI,0.41%
Cooper-Standard Holdings Inc.,CPS,0.41%
"Powell Industries, Inc.",POWL,0.41%
"Disc Medicine, Inc.",IRON,0.41%
Cimpress Plc,CMPR,0.41%
Tiptree Inc.,TIPT,0.41%
St. Joe Company,JOE,0.41%
"MiMedx Group, Inc.",MDXG,0.41%
Materion Corporation,MTRN,0.4%
"Vera Therapeutics, Inc. Class A",VERA,0.4%
"Cars.com, Inc.",CARS,0.4%
Oil-Dri Corporation of America,ODC,0.4%
Federal Signal Corporation,FSS,0.4%
"Tactile Systems Technology, Inc.",TCMD,0.4%
"Airsculpt Technologies, Inc.",AIRS,0.4%
"Oscar Health, Inc. Class A",OSCR,0.4%
"Tanger Factory Outlet Centers, Inc.",SKT,0.4%
"Schrodinger, Inc.",SDGR,0.4%
Digi International Inc.,DGII,0.4%
Adient plc,ADNT,0.4%
"Vaxcyte, Inc.",PCVX,0.39%
"MGP Ingredients, Inc.",MGPI,0.39%
"Victory Capital Holdings, Inc. Class A",VCTR,0.39%
"Mueller Industries, Inc.",MLI,0.39%
"CSW Industrials, Inc.",CSWI,0.39%
"Summit Materials, Inc. Class A",SUM,0.39%
Biomea Fusion Inc,BMEA,0.39%
Acushnet Holdings Corp.,GOLF,0.39%
"EnPro Industries, Inc.",NPO,0.39%
"Photronics, Inc.",PLAB,0.39%
AAR CORP.,AIR,0.39%
"SkyWest, Inc",SKYW,0.39%
Griffon Corporation,GFF,0.39%
"Commercial Vehicle Group, Inc.",CVGI,0.39%
"IES Holdings, Inc.",IESC,0.39%
"National Western Life Group, Inc. Class A",NWLI,0.39%
"Thermon Group Holdings, Inc.",THR,0.39%
Quanterix Corporation,QTRX,0.39%
Dorian LPG Ltd.,LPG,0.39%
Visteon Corporation,VC,0.38%
Astronics Corporation,ATRO,0.38%
Granite Construction Incorporated,GVA,0.38%
"Mastercraft Boat Holdings, Inc.",MCFT,0.38%
Otter Tail Corporation,OTTR,0.38%
"Franklin Electric Co., Inc.",FELE,0.38%
OFG Bancorp,OFG,0.38%
Meritage Homes Corporation,MTH,0.38%
"Advansix, Inc.",ASIX,0.38%
"Merit Medical Systems, Inc.",MMSI,0.38%
Belden Inc.,BDC,0.38%
"Pacific Biosciences of California, Inc.",PACB,0.38%
PacWest Bancorp,PACW,0.38%
"Andersons, Inc.",ANDE,0.38%
"International Money Express, Inc.",IMXI,0.38%
Marinus Pharmaceuticals Inc,MRNS,0.38%
Enova International Inc,ENVA,0.38%
AVITA Medical Inc,RCEL,0.38%
Enviri Corporation,NVRI,0.38%
Terex Corporation,TEX,0.38%
Preformed Line Products Company,PLPC,0.38%
"Energy Recovery, Inc.",ERII,0.38%
"Pathward Financial, Inc.",CASH,0.37%
"Haynes International, Inc.",HAYN,0.37%
"Rush Enterprises, Inc. Class A",RUSHA,0.37%
10x Genomics Inc Class A,TXG,0.37%
Pangaea Logistics Solutions Ltd.,PANL,0.37%
Biohaven Ltd.,BHVN,0.37%
"Inter Parfums, Inc.",IPAR,0.37%
O-I Glass Inc,OI,0.37%
"Samsara, Inc. Class A",IOT,0.37%
"Coca-Cola Consolidated, Inc.",COKE,0.37%
Gogo Inc.,GOGO,0.37%
"ICF International, Inc.",ICFI,0.37%
"Cantaloupe, Inc.",CTLP,0.37%
Northeast Bank,NBN,0.37%
"Tenaya Therapeutics, Inc.",TNYA,0.37%
Diodes Incorporated,DIOD,0.37%
Albany International Corp. Class A,AIN,0.37%
McGrath RentCorp,MGRC,0.36%
"Hostess Brands, Inc. Class A",TWNK,0.36%
Piper Sandler Companies,PIPR,0.36%
Integral Ad Science Holding Corp,IAS,0.36%
