symbol,name,description,country,year,period,documentUrl,income,expenses,postedName,date,clientId,registrantId,senateId,houseRegistrantId
CXW,CORECIVIC INC,,US,2022,Q3,https://lda.senate.gov/filings/public/filing/1f83e812-e9d5-4616-98c6-9eb56278f077/print/,80000,,,,100655,682,682-100655,31784
CXW,CORECIVIC INC,,US,2022,Q4,https://lda.senate.gov/filings/public/filing/4a62b66d-a97c-4395-aca9-da5795b9d57a/print/,80000,,,,100655,682,682-100655,31784
CXW,CORECIVIC (FORMERLY CCA OF TENNESSEE),Private Prison Management Services,US,2022,Q2,https://lda.senate.gov/filings/public/filing/639ad051-6256-45ae-ac08-d643fc2da245/print/,30000,,,,122475,16896,16896-122475,31595
CXW,CORECIVIC (FORMERLY CCA OF TENNESSEE),Private Prison Management Services,US,2022,Q3,https://lda.senate.gov/filings/public/filing/d734e6be-d6ac-4b1e-9353-791a200d7fab/print/,30000,,,,122475,16896,16896-122475,31595
CXW,CORECIVIC (FORMERLY CCA OF TENNESSEE),Private Prison Management Services,US,2022,Q4,https://lda.senate.gov/filings/public/filing/b941c1a2-c00e-481c-a4cc-d3a1830aa1b7/print/,30000,,,,122475,16896,16896-122475,31595
CXW,CORECIVIC INC,,US,2022,Q2,https://lda.senate.gov/filings/public/filing/593f64d1-4686-4cc1-bbe1-088db36f5572/print/,,460000,,,172421,84491,84491-172421,36467
CXW,CORECIVIC INC,,US,2022,Q3,https://lda.senate.gov/filings/public/filing/091e062b-464c-43a8-8460-a168ea73d705/print/,,450000,,,172421,84491,84491-172421,36467
CXW,CORECIVIC INC,,US,2022,Q4,https://lda.senate.gov/filings/public/filing/032e5af1-01d8-4060-98b3-a401224f5d6b/print/,,470000,,,172421,84491,84491-172421,36467
CXW,"CORECIVIC, INC.","finance, construction and management of prisons",US,2022,Q2,https://lda.senate.gov/filings/public/filing/bc377547-2ff5-4b5e-938c-d01bd720c8d8/print/,50000,,,,185545,315717,315717-185545,39215
CXW,"CORECIVIC, INC.","finance, construction and management of prisons",US,2022,Q3,https://lda.senate.gov/filings/public/filing/adcf0000-b3e0-480f-b56a-7a80f05edfce/print/,50000,,,,185545,315717,315717-185545,39215
CXW,"CORECIVIC, INC.","finance, construction and management of prisons",US,2022,Q4,https://lda.senate.gov/filings/public/filing/e3edca8f-9a5b-415f-b6b1-a6d007659b41/print/,40000,,,,185545,315717,315717-185545,39215
CXW,CORECIVIC,"finance, construction and management of prisons",US,2022,Q2,https://lda.senate.gov/filings/public/filing/b42db034-88c1-4ca0-bf53-22adf75f33b5/print/,30000,,,,198263,401103235,401103235-198263,401103235
CXW,CORECIVIC,"finance, construction and management of prisons",US,2022,Q3,https://lda.senate.gov/filings/public/filing/3b579c3e-3f17-4162-95fa-3a391ad8db74/print/,30000,,,,198263,401103235,401103235-198263,401103235
CXW,CORECIVIC,"finance, construction and management of prisons",US,2022,Q4,https://lda.senate.gov/filings/public/filing/c6c1b3d6-8942-44d8-8114-079d0fbac82e/print/,30000,,,,198263,401103235,401103235-198263,401103235
CXW,CORECIVIC,"finance, construction and management of prisons",US,2022,Q2,https://lda.senate.gov/filings/public/filing/7bcbbabf-97c6-4960-b039-42e927d90619/print/,100000,,,,198932,401103475,401103475-198932,401103475
CXW,CORECIVIC,"finance, construction and management of prisons",US,2022,Q3,https://lda.senate.gov/filings/public/filing/3043c951-61b6-497b-9cce-70e9ca0c8da0/print/,100000,,,,198932,401103475,401103475-198932,401103475
CXW,CORECIVIC,"finance, construction and management of prisons",US,2022,Q4,https://lda.senate.gov/filings/public/filing/de192890-71c8-4635-b919-599781231f58/print/,120000,,,,198932,401103475,401103475-198932,401103475
CXW,"CORECIVIC, INC.","finance, construction and management of prisons",US,2022,Q2,https://lda.senate.gov/filings/public/filing/fdb27682-438d-4b18-a0be-9667b7a1c098/print/,30000,,,,201379,401104313,401104313-201379,401104313
CXW,"CORECIVIC, INC.","finance, construction and management of prisons",US,2022,Q3,https://lda.senate.gov/filings/public/filing/0d5c6f03-196e-49a2-a07c-97c7612d23f9/print/,30000,,,,201379,401104313,401104313-201379,401104313
CXW,"CORECIVIC, INC.","finance, construction and management of prisons",US,2022,Q4,https://lda.senate.gov/filings/public/filing/4f0fed6e-a3d1-4513-97f4-166c87165eb4/print/,30000,,,,201379,401104313,401104313-201379,401104313
CXW,CORECIVIC,A real estate investment trust (REIT) operating in the federally leased asset business.,US,2022,Q2,https://lda.senate.gov/filings/public/filing/897220a1-db80-4764-8104-c685c3c79227/print/,90000,,,,202545,401104734,401104734-202545,401104734
CXW,CORECIVIC,A real estate investment trust (REIT) operating in the federally leased asset business.,US,2022,Q3,https://lda.senate.gov/filings/public/filing/4b925201-e440-4c36-98eb-85139507db99/print/,90000,,,,202545,401104734,401104734-202545,401104734
CXW,CORECIVIC,A real estate investment trust (REIT) operating in the federally leased asset business.,US,2022,Q4,https://lda.senate.gov/filings/public/filing/194ed267-10b6-4899-89f1-814450a9f912/print/,90000,,,,202545,401104734,401104734-202545,401104734
